-1,0,0,0,0
-1,0,0,1,0
0,1,1,2,1
1,2,2,3,2
2,2,3,4,2
-1,0,0,5,0
2,-1,4,2,3
2,-1,4,2,3
1,3,5,6,3
2,-1,4,2,3
-1,0,0,7,0
2,-1,4,2,3
3,4,4,2,2
2,-1,4,8,3
-1,0,0,9,0
-1,0,0,10,0
2,2,3,4,2
-1,0,0,11,0
0,5,4,2,4
2,2,3,4,2
0,5,4,12,4
0,1,1,13,1
0,5,4,2,4
2,-1,4,2,4
2,2,3,4,2
2,-1,4,8,3
2,2,3,4,2
0,1,1,2,1
2,-1,4,2,3
4,6,4,2,2
2,-1,4,8,3
0,1,1,2,1
0,5,4,2,4
0,5,4,2,4
-1,0,0,14,0
2,2,3,4,2
0,5,4,2,4
2,2,3,4,2
-1,0,0,15,0
2,2,3,4,2
2,2,2,2,5
2,2,3,4,2
4,2,6,2,6
0,5,4,2,4
0,2,2,2,5
2,-1,4,2,3
2,7,0,16,7
0,1,1,4,1
2,-1,4,2,3
2,2,3,4,2
2,-1,4,2,3
2,-1,4,2,3
2,2,3,4,2
-1,0,0,17,0
5,8,5,18,8
0,5,4,2,4
2,9,7,16,3
0,5,4,2,4
0,5,4,2,4
3,10,5,2,0
3,10,5,2,0
-1,0,0,19,0
-1,0,0,20,0
0,1,1,2,1
0,5,4,2,4
4,11,4,16,9
1,3,5,6,3
2,12,4,21,3
4,11,4,16,9
0,5,4,2,4
0,5,4,2,4
1,3,5,6,3
1,3,5,6,3
2,12,4,21,3
2,9,7,16,3
-1,0,0,22,0
2,9,7,16,3
0,1,1,2,1
-1,0,0,23,0
2,-1,4,2,3
2,-1,4,2,4
2,-1,4,2,4
2,-1,4,8,3
-1,0,0,24,0
2,-1,4,2,4
5,13,5,25,8
2,-1,4,2,4
2,-1,4,2,4
2,9,7,16,3
6,14,-1,16,10
-1,0,0,19,0
2,-1,4,2,3
2,-1,4,2,3
0,1,1,2,1
2,2,3,4,2
2,-1,4,2,3
2,2,3,4,2
1,2,2,26,2
2,9,7,16,3
2,-1,4,2,3
2,2,3,4,2
2,-1,4,2,3
2,-1,4,2,3
2,7,0,16,7
2,9,7,16,3
0,1,1,2,1
2,2,6,2,2
2,9,7,16,3
2,9,7,16,3
2,2,3,4,2
2,15,4,2,6
5,16,4,27,8
1,2,2,28,2
3,17,0,16,11
2,2,3,4,2
0,5,4,2,4
0,1,1,2,1
0,1,1,2,1
0,1,1,4,1
-1,0,0,29,0
-1,18,5,6,7
-1,0,0,17,0
2,2,3,4,2
0,5,4,2,4
2,2,6,2,2
2,15,4,2,6
2,2,3,4,2
2,9,7,16,3
-1,0,0,30,0
5,16,4,27,8
-1,0,0,31,0
-1,0,0,30,0
0,1,1,4,1
4,2,6,2,3
0,1,1,4,1
-1,0,0,32,0
-1,0,0,1,0
1,2,2,3,2
2,2,3,4,2
0,5,4,2,4
0,5,4,2,4
0,5,4,2,4
2,15,4,2,6
0,5,4,2,4
0,5,4,2,4
-1,0,0,33,0
2,19,8,2,12
-1,0,0,34,0
5,13,5,25,8
0,1,1,2,1
2,2,3,4,2
0,5,4,2,4
0,5,4,2,4
2,9,7,16,3
2,20,5,2,2
-1,0,0,1,0
2,-1,4,2,4
0,5,4,2,4
5,21,5,18,8
2,2,3,4,2
3,10,5,2,0
2,15,4,2,6
-1,22,9,16,13
